Date;Home shots;Away shots;Home shots on target;Away shots on target;Home fouls committed;Away fouls committed;Home corners;Away corners;Home yellow cards;Away yellow cards;Home red cards;Away red cards;Home Turnover (£m);Home Gate and Matchday income (£m);Home TV and Broadcasting (£m);Home Commercial income (£m);Away Turnover (£m);Away Gate and Matchday income (£m);Away TV and Broadcasting (£m);Away Commercial income (£m);Winner;Date.year;Date.month;Date.day-of-month;Date.day-of-week;Winner_1;;
11/02/2012;8;10;5;8;7;7;7;3;2;1;0;0;78;14;47;8;245;95;85;34;Away;2012;2;11;6;Away;1;
12/02/2012;9;17;5;10;15;5;5;8;3;0;0;0;80;20;47;14;231;22;88;121;Away;2012;2;12;7;Home;;
25/02/2012;25;8;16;1;7;13;14;7;0;1;0;0;261;78;113;70;65;8;43;;Home;2012;2;25;6;Draw;;
03/03/2012;23;8;10;5;13;8;7;4;0;0;0;0;231;22;88;121;65;8;43;;Home;2012;3;3;6;Home;1;
03/03/2012;19;13;11;6;9;10;14;5;3;1;0;0;67;8;50;9;261;78;113;70;Home;2012;3;3;6;Away;;
10/03/2012;19;5;8;1;9;11;10;4;2;0;0;0;80;20;47;14;79;11;51;;Home;2012;3;10;6;Home;1;
10/03/2012;9;21;5;9;13;11;0;8;2;2;0;0;81;17;53;11;144;21;59;9;Home;2012;3;10;6;Home;1;
11/03/2012;20;6;9;3;5;13;8;5;0;1;0;1;320;99;104;118;67;8;50;9;Home;2012;3;11;7;Home;1;
12/03/2012;21;5;13;3;11;12;6;3;2;3;0;0;245;95;85;34;93;24;56;14;Home;2012;3;12;1;Home;1;
18/03/2012;15;12;10;5;8;15;4;5;0;3;0;0;93;24;56;14;75;11;50;14;Home;2012;3;18;7;Home;1;
24/03/2012;20;3;12;2;6;13;15;5;0;5;0;0;245;95;85;34;80;20;47;14;Home;2012;3;24;6;Draw;;
31/03/2012;13;6;11;2;14;13;8;1;2;4;0;0;53;4;46;;71;8;46;;Home;2012;3;31;6;Away;;
02/04/2012;11;14;6;6;8;5;2;10;1;1;0;0;54;6;42;9;320;99;104;118;Away;2012;4;2;1;Away;1;
09/04/2012;13;12;9;6;12;12;10;3;1;2;0;0;144;21;59;9;75;11;50;14;Away;2012;4;9;1;Home;;
11/04/2012;16;9;8;6;9;10;6;9;2;0;0;0;64;;;;65;;;4;Home;2012;4;11;3;Home;1;
11/04/2012;9;10;6;7;9;4;6;4;3;0;1;0;60;8;42;5;245;95;85;34;Away;2012;4;11;3;Away;1;
